name,type,start_time,duration,"data"
"Async Serial","data",0.7833574,0.0000824,"H"
"Async Serial","data",0.7834444,0.0000824,"e"
"Async Serial","data",0.7835312,0.0000824,"l"
"Async Serial","data",0.7836182,0.0000824,"l"
"Async Serial","data",0.7837051,0.0000824,"o"
"Async Serial","data",0.7837921,0.0000824,","
"Async Serial","data",0.783879,0.0000824," "
"Async Serial","data",0.783966,0.0000824,"w"
"Async Serial","data",0.7840528,0.0000824,"o"
"Async Serial","data",0.7841397,0.0000824,"r"
"Async Serial","data",0.7842267,0.0000824,"l"
"Async Serial","data",0.7843136,0.0000824,"d"
"Async Serial","data",0.7844006,0.0000824,""
"Async Serial","data",0.7844875,0.0000824,"
"
"Async Serial","data",1.7859462,0.0000824,"H"
"Async Serial","data",1.7860331,0.0000824,"e"
"Async Serial","data",1.78612,0.0000824,"l"
"Async Serial","data",1.786207,0.0000824,"l"
"Async Serial","data",1.7862939,0.0000824,"o"
"Async Serial","data",1.7863808,0.0000824,","
"Async Serial","data",1.7864677,0.0000824," "
"Async Serial","data",1.7865546,0.0000824,"w"
"Async Serial","data",1.7866416,0.0000824,"o"
"Async Serial","data",1.7867285,0.0000824,"r"
"Async Serial","data",1.7868154,0.0000824,"l"
"Async Serial","data",1.7869024,0.0000824,"d"
"Async Serial","data",1.7869892,0.0000824,""
"Async Serial","data",1.7870762,0.0000824,"
"
"Async Serial","data",2.7885341,0.0000824,"H"
"Async Serial","data",2.7886211,0.0000824,"e"
"Async Serial","data",2.7887079,0.0000824,"l"
"Async Serial","data",2.7887949,0.0000824,"l"
"Async Serial","data",2.7888818,0.0000824,"o"
"Async Serial","data",2.7889687,0.0000824,","
"Async Serial","data",2.7890557,0.0000824," "
"Async Serial","data",2.7891426,0.0000824,"w"
"Async Serial","data",2.7892295,0.0000824,"o"
"Async Serial","data",2.7893164,0.0000824,"r"
"Async Serial","data",2.7894033,0.0000824,"l"
"Async Serial","data",2.7894903,0.0000824,"d"
"Async Serial","data",2.7895772,0.0000824,""
"Async Serial","data",2.7896642,0.0000824,"
"
"Async Serial","data",3.7911221,0.0000824,"H"
"Async Serial","data",3.791209,0.0000824,"e"
"Async Serial","data",3.7912959,0.0000824,"l"
"Async Serial","data",3.7913829,0.0000824,"l"
"Async Serial","data",3.7914698,0.0000824,"o"
"Async Serial","data",3.7915567,0.0000824,","
"Async Serial","data",3.7916436,0.0000824," "
"Async Serial","data",3.7917305,0.0000824,"w"
"Async Serial","data",3.7918175,0.0000824,"o"
"Async Serial","data",3.7919044,0.0000824,"r"
"Async Serial","data",3.7919913,0.0000824,"l"
"Async Serial","data",3.7920782,0.0000824,"d"
"Async Serial","data",3.7921652,0.0000824,""
"Async Serial","data",3.7922521,0.0000824,"
"
"Async Serial","data",4.7937108,0.0000824,"H"
"Async Serial","data",4.7937978,0.0000824,"e"
"Async Serial","data",4.7938846,0.0000824,"l"
"Async Serial","data",4.7939715,0.0000824,"l"
"Async Serial","data",4.7940585,0.0000824,"o"
"Async Serial","data",4.7941454,0.0000824,","
"Async Serial","data",4.7942324,0.0000824," "
"Async Serial","data",4.7943192,0.0000824,"w"
"Async Serial","data",4.7944062,0.0000824,"o"
"Async Serial","data",4.7944932,0.0000824,"r"
"Async Serial","data",4.7945801,0.0000824,"l"
"Async Serial","data",4.794667,0.0000824,"d"
"Async Serial","data",4.7947539,0.0000824,""
"Async Serial","data",4.7948409,0.0000824,"
"
