name,type,start_time,duration,"data"
"Async Serial","data",0.2748509,0.0000824,"H"
"Async Serial","data",0.2749378,0.0000824,"e"
"Async Serial","data",0.2750247,0.0000824,"l"
"Async Serial","data",0.2751116,0.0000824,"l"
"Async Serial","data",0.2751985,0.0000824,"o"
"Async Serial","data",0.2752855,0.0000824,","
"Async Serial","data",0.2753724,0.0000824," "
"Async Serial","data",0.2754593,0.0000824,"w"
"Async Serial","data",0.2755462,0.0000824,"o"
"Async Serial","data",0.2756331,0.0000824,"r"
"Async Serial","data",0.2757201,0.0000824,"l"
"Async Serial","data",0.275807,0.0000824,"d"
"Async Serial","data",0.275894,0.0000824,""
"Async Serial","data",0.2759809,0.0000824,"
"
"Async Serial","data",1.2774411,0.0000824,"H"
"Async Serial","data",1.277528,0.0000824,"e"
"Async Serial","data",1.2776149,0.0000824,"l"
"Async Serial","data",1.2777019,0.0000824,"l"
"Async Serial","data",1.2777888,0.0000824,"o"
"Async Serial","data",1.2778756,0.0000824,","
"Async Serial","data",1.2779626,0.0000824," "
"Async Serial","data",1.2780495,0.0000824,"w"
"Async Serial","data",1.2781365,0.0000824,"o"
"Async Serial","data",1.2782234,0.0000824,"r"
"Async Serial","data",1.2783103,0.0000824,"l"
"Async Serial","data",1.2783973,0.0000824,"d"
"Async Serial","data",1.2784842,0.0000824,""
"Async Serial","data",1.2785711,0.0000824,"
"
"Async Serial","data",2.280032,0.0000824,"H"
"Async Serial","data",2.280119,0.0000824,"e"
"Async Serial","data",2.2802058,0.0000824,"l"
"Async Serial","data",2.2802928,0.0000824,"l"
"Async Serial","data",2.2803797,0.0000824,"o"
"Async Serial","data",2.2804666,0.0000824,","
"Async Serial","data",2.2805536,0.0000824," "
"Async Serial","data",2.2806405,0.0000824,"w"
"Async Serial","data",2.2807274,0.0000824,"o"
"Async Serial","data",2.2808143,0.0000824,"r"
"Async Serial","data",2.2809013,0.0000824,"l"
"Async Serial","data",2.2809882,0.0000824,"d"
"Async Serial","data",2.2810751,0.0000824,""
"Async Serial","data",2.281162,0.0000824,"
"
"Async Serial","data",3.2826221,0.0000824,"H"
"Async Serial","data",3.2827091,0.0000824,"e"
"Async Serial","data",3.282796,0.0000824,"l"
"Async Serial","data",3.2828829,0.0000824,"l"
"Async Serial","data",3.2829698,0.0000824,"o"
"Async Serial","data",3.2830568,0.0000824,","
"Async Serial","data",3.2831437,0.0000824," "
"Async Serial","data",3.2832306,0.0000824,"w"
"Async Serial","data",3.2833175,0.0000824,"o"
"Async Serial","data",3.2834044,0.0000824,"r"
"Async Serial","data",3.2834914,0.0000824,"l"
"Async Serial","data",3.2835783,0.0000824,"d"
"Async Serial","data",3.2836652,0.0000824,""
"Async Serial","data",3.2837522,0.0000824,"
"
"Async Serial","data",4.285213,0.0000824,"H"
"Async Serial","data",4.2852999,0.0000824,"e"
"Async Serial","data",4.2853869,0.0000824,"l"
"Async Serial","data",4.2854738,0.0000824,"l"
"Async Serial","data",4.2855607,0.0000824,"o"
"Async Serial","data",4.2856476,0.0000824,","
"Async Serial","data",4.2857346,0.0000824," "
"Async Serial","data",4.2858215,0.0000824,"w"
"Async Serial","data",4.2859084,0.0000824,"o"
"Async Serial","data",4.2859954,0.0000824,"r"
"Async Serial","data",4.2860823,0.0000824,"l"
"Async Serial","data",4.2861692,0.0000824,"d"
"Async Serial","data",4.2862561,0.0000824,""
"Async Serial","data",4.2863431,0.0000824,"
"
